,antigen_recognition_function,antigenic_feature_range,antigenic_feature_count,lymphocytes_count,somatic_hypermutation_cycles,somatic_hypermutation_rate,clonal_expansion_factor,best_solution,best_fitness,elapsed_time
0,sphere,"(-100, 100)",3,300,250,0.001,2,[ -2.71766831 -10.32563109  13.56838475],298.10544311788107,0.6164970397949219
1,sphere,"(-100, 100)",3,300,250,0.01,2,[ -2.7152664  -10.32123455  13.56077763],297.7952442455679,0.6038122177124023
2,sphere,"(-100, 100)",3,300,250,0.001,3,[ -2.71768754 -10.32548034  13.56827098],298.09934734856006,0.6171760559082031
3,sphere,"(-100, 100)",3,300,250,0.01,3,[ -2.71568209 -10.31932134  13.55990152],297.73425147212606,0.6103291511535645
4,sphere,"(-100, 100)",3,300,250,0.1,2,[ -2.69672987 -10.27174945  13.48715914],294.6846505599871,0.6177988052368164
5,sphere,"(-100, 100)",3,300,250,0.001,4,[ -2.71768359 -10.32543233  13.56815499],298.0951867317288,0.6563100814819336
6,sphere,"(-100, 100)",3,300,250,0.01,4,[ -2.71564222 -10.31884063  13.55874017],297.6926194677404,0.6405580043792725
7,sphere,"(-100, 100)",3,300,250,0.1,3,[ -2.68755071 -10.26456809  13.47171228],294.0713185740982,0.6368350982666016
8,sphere,"(-100, 100)",3,300,250,0.1,4,[ -2.69505894 -10.25245674  13.46388064],293.65229387304953,0.6699459552764893
9,sphere,"(-100, 100)",3,300,500,0.001,2,[ -2.71751481 -10.325009    13.56755937],298.0693649230904,1.2517099380493164
10,sphere,"(-100, 100)",3,300,500,0.01,2,[ 3.22049651 17.8576595   8.69904616],404.94100449678507,1.2215290069580078
11,sphere,"(-100, 100)",3,300,500,0.001,3,[ 3.22307935 17.86940986  8.70472182],405.47623104979255,1.2624106407165527
12,sphere,"(-100, 100)",3,300,500,0.01,3,[ 3.22107512 17.85510214  8.6979771 ],404.834802945596,1.246741771697998
13,sphere,"(-100, 100)",3,300,500,0.1,2,[ 3.19337431 17.73670074  8.64143288],399.462554824054,1.2284979820251465
14,sphere,"(-100, 100)",3,300,500,0.001,4,[ 3.223016   17.8692858   8.70458333],405.4689781674138,1.2744388580322266
15,sphere,"(-100, 100)",3,300,500,0.01,4,[ 3.22044016 17.8538595   8.69659017],404.7622144979679,1.277850866317749
16,sphere,"(-100, 100)",3,300,500,0.1,3,[ 3.20225904 17.70876268  8.63354399],398.3928202447162,1.2961711883544922
17,sphere,"(-100, 100)",3,300,500,0.1,4,[ 3.19308338 17.69715944  8.61832565],397.66077079876857,1.3251519203186035
18,sphere,"(-100, 100)",3,300,750,0.001,2,[ 3.22292451 17.86899497  8.70453767],405.4571997942023,1.8402948379516602
19,sphere,"(-100, 100)",3,300,750,0.001,3,[-3.88081371  0.55272628 -3.69136657],28.99240853230096,1.8291170597076416
20,sphere,"(-100, 100)",3,300,750,0.01,2,[2.81547023 7.49659833 3.31159224],75.09250233500283,1.8513929843902588
21,sphere,"(-100, 100)",3,300,750,0.01,3,[2.81016374 7.47570202 3.307997  ],74.72598514112093,1.8634941577911377
22,sphere,"(-100, 100)",3,300,750,0.1,2,[2.43396337 6.45900929 2.72189002],55.051664002572274,1.8508150577545166
23,sphere,"(-100, 100)",3,300,750,0.1,3,[2.33694374 6.13541831 2.75839291],50.713395380326595,1.8677430152893066
24,sphere,"(-100, 100)",3,300,750,0.01,4,[2.80180928 7.46360097 3.30480245],74.47719384921538,1.9206719398498535
25,sphere,"(-100, 100)",3,300,750,0.001,4,[2.84523511 7.58479688 3.35641189],76.89000734528733,1.9669890403747559
26,sphere,"(-100, 100)",3,300,750,0.1,4,[2.22725948 6.00912219 2.57062602],47.67835242130261,1.9603588581085205
27,sphere,"(-100, 100)",3,300,1000,0.001,2,[2.84536034 7.58460451 3.35553102],76.8818894601473,2.46075177192688
28,sphere,"(-100, 100)",5,500,250,0.001,2,[-5.09136929  7.06098608 -5.18982116 22.03430872 -3.66474048],601.6548929569905,1.0200068950653076
29,sphere,"(-100, 100)",3,300,1000,0.001,3,[ -7.97267362 -14.80244785  -1.21386059],284.149444684498,2.5075478553771973
30,sphere,"(-100, 100)",5,500,250,0.001,3,[-39.47178054   8.5862964   12.26001759   6.7011497   13.95076221],2021.5831495731115,1.0762832164764404
31,sphere,"(-100, 100)",3,300,1000,0.001,4,[21.29016661  5.90426259 -9.1336101 ],571.5543445006784,2.5561888217926025
32,sphere,"(-100, 100)",5,500,250,0.001,4,[ 15.11896226  15.5159687   16.8955071    2.17801235 -29.91959814],1654.7125550127075,1.0683908462524414
