,antigen_recognition_function,antigenic_feature_count,somatic_hypermutation_cycles,somatic_hypermutation_rate,clonal_expansion_factor,immune_responses,immune_memory_lymphocytes_count,best_fitness,elapsed_time
0,sphere,3,250,0.001,2,3,0.001,459.2643223677211,1.8052139282226562
1,sphere,3,250,0.001,2,3,0.01,231.1494911900966,3.63470196723938
2,sphere,3,250,0.001,2,3,0.1,298.03528493741237,5.5226311683654785
3,sphere,3,250,0.001,3,3,0.001,459.25944726833205,7.611624479293823
4,sphere,3,250,0.001,2,5,0.01,231.07002751694293,3.0740818977355957
5,sphere,3,250,0.001,2,5,0.001,33.967567944136434,6.227697849273682
6,sphere,3,250,0.001,2,5,0.1,297.96421453968713,9.49228811264038
7,sphere,3,250,0.001,3,3,0.01,23.32092079235075,1.915937900543213
8,sphere,3,250,0.001,3,5,0.001,157.97942279064398,3.1770951747894287
9,sphere,3,250,0.001,3,3,0.1,157.97938004293405,1.93377685546875
10,sphere,3,250,0.001,3,5,0.01,33.590189105883944,3.155426263809204
11,sphere,3,250,0.001,2,10,0.1,63.24625728289307,6.226414680480957
12,sphere,3,250,0.001,2,10,0.01,119.4699787645814,12.464557409286499
13,sphere,3,250,0.001,2,10,0.001,262.12825869911603,18.840214729309082
14,sphere,3,250,0.001,3,5,0.1,157.86583665333922,3.2446320056915283
15,sphere,3,250,0.001,4,3,0.001,201.79715095025193,1.9142248630523682
16,sphere,3,250,0.001,3,10,0.001,283.7083246842265,6.328420162200928
17,sphere,3,250,0.001,4,3,0.01,140.86525209792487,1.9797899723052979
18,sphere,3,250,0.001,4,5,0.001,252.9308012948082,3.2570836544036865
19,sphere,3,250,0.001,4,3,0.1,119.16508077541518,1.9596562385559082
20,sphere,3,250,0.001,4,5,0.01,137.5380471426998,3.2490956783294678
21,sphere,3,250,0.001,3,10,0.01,130.15542639084606,6.450932264328003
22,sphere,3,250,0.01,2,3,0.001,123.2489136236025,1.808678150177002
23,sphere,3,250,0.001,3,10,0.1,62.659743824463455,6.376402854919434
24,sphere,3,250,0.001,4,5,0.1,11.576851676745552,3.313570499420166
25,sphere,3,250,0.01,2,3,0.01,70.96952351079526,1.975550651550293
26,sphere,3,250,0.01,2,5,0.001,312.7689107072432,3.1222786903381348
27,sphere,3,250,0.001,4,10,0.001,325.69692914427895,6.692711591720581
28,sphere,3,250,0.01,2,3,0.1,37.897787178713294,1.9598309993743896
29,sphere,3,250,0.01,2,5,0.01,177.6715427783086,3.1812632083892822
